1-Mr/M 		   	LOG(r)	DEL	    DELAD   DELRAD
2.22192767e-01 10.67047 0.23976 0.39619 0.2398
2.10539562e-01 10.67761 0.23873 0.39617 0.2387
1.99121725e-01 10.68480 0.23773 0.39615 0.2377
1.87955938e-01 10.69203 0.23677 0.39613 0.2368
1.77058289e-01 10.69931 0.23585 0.39611 0.2359
1.66444168e-01 10.70662 0.23497 0.39608 0.2350
1.56128157e-01 10.71398 0.23413 0.39605 0.2341
1.46123924e-01 10.72137 0.23332 0.39602 0.2333
1.36444120e-01 10.72881 0.23255 0.39599 0.2326
1.27100276e-01 10.73628 0.23182 0.39596 0.2318
1.18102713e-01 10.74380 0.23112 0.39592 0.2311
1.09460447e-01 10.75134 0.23045 0.39588 0.2305
1.01181118e-01 10.75893 0.22982 0.39584 0.2298
9.32709080e-02 10.76654 0.22921 0.39579 0.2292
8.57344907e-02 10.77419 0.22864 0.39574 0.2286
7.85749780e-02 10.78186 0.22810 0.39569 0.2281
7.17938872e-02 10.78956 0.22758 0.39564 0.2276
6.53911207e-02 10.79728 0.22710 0.39558 0.2271
5.93649612e-02 10.80502 0.22664 0.39552 0.2266
5.37120831e-02 10.81277 0.22620 0.39546 0.2262
4.84275799e-02 10.82054 0.22580 0.39539 0.2258
4.35050091e-02 10.82831 0.22542 0.39532 0.2254
3.89364533e-02 10.83609 0.22506 0.39524 0.2251
3.47125976e-02 10.84386 0.22472 0.39516 0.2247
3.08228231e-02 10.85163 0.22441 0.39508 0.2244
2.72553145e-02 10.85939 0.22411 0.39499 0.2241
2.39971818e-02 10.86712 0.22384 0.39489 0.2238
2.10345924e-02 10.87484 0.22358 0.39480 0.2236
1.83529146e-02 10.88253 0.22335 0.39469 0.2233
1.59368679e-02 10.89018 0.22313 0.39458 0.2231
1.37706781e-02 10.89779 0.22292 0.39447 0.2229
1.18382366e-02 10.90535 0.22273 0.39435 0.2227
1.01232581e-02 10.91285 0.22256 0.39422 0.2226
8.60943738e-03 10.92029 0.22239 0.39408 0.2224
7.28059946e-03 10.92766 0.22224 0.39394 0.2222
6.12084300e-03 10.93495 0.22210 0.39379 0.2221
5.11467313e-03 10.94215 0.22197 0.39363 0.2220
4.24712224e-03 10.94926 0.22185 0.39347 0.2218
3.50385664e-03 10.95627 0.22174 0.39329 0.2217
2.87126780e-03 10.96317 0.22163 0.39311 0.2216
2.33654705e-03 10.96996 0.22153 0.39291 0.2215
1.88774309e-03 10.97662 0.22144 0.39270 0.2214
1.51380223e-03 10.98315 0.22135 0.39248 0.2214
1.20459155e-03 10.98954 0.22127 0.39225 0.2213
9.50905713e-04 10.99579 0.22119 0.39201 0.2212
7.44458544e-04 11.00188 0.22112 0.39175 0.2211
5.77860737e-04 11.00782 0.22105 0.39147 0.2210
4.44585454e-04 11.01359 0.22098 0.39118 0.2210
3.38923696e-04 11.01920 0.22091 0.39087 0.2209
2.55931506e-04 11.02463 0.22084 0.39054 0.2208
1.91371092e-04 11.02988 0.22077 0.39018 0.2208
1.41647938e-04 11.03495 0.22068 0.38981 0.2207
1.03745882e-04 11.03983 0.22058 0.38941 0.2206
7.51619602e-05 11.04452 0.22044 0.38898 0.2204
5.38426321e-05 11.04901 0.22026 0.38852 0.2203
3.81227265e-05 11.05332 0.22000 0.38802 0.2200
2.66681962e-05 11.05742 0.21963 0.38748 0.2196
1.84234801e-05 11.06134 0.21907 0.38690 0.2191
1.25640000e-05 11.06505 0.21825 0.38625 0.2182
8.45406646e-06 11.06858 0.21703 0.38554 0.2170
5.61023698e-06 11.07191 0.21529 0.38473 0.2153
3.66998086e-06 11.07506 0.21287 0.38380 0.2129
2.36534930e-06 11.07803 0.20970 0.38271 0.2097
1.50123911e-06 11.08082 0.20588 0.38141 0.2059
9.37764666e-07 11.08345 0.20184 0.37983 0.2018
5.76216116e-07 11.08592 0.19851 0.37793 0.1985
3.48076049e-07 11.08824 0.19749 0.37570 0.1975
2.06586047e-07 11.09040 0.20116 0.37326 0.2012
1.20392040e-07 11.09242 0.21252 0.37093 0.2125
6.88473049e-08 11.09428 0.23275 0.36930 0.2327
3.86083499e-08 11.09597 0.25383 0.36889 0.2538
2.12169685e-08 11.09747 0.25946 0.36931 0.2595
1.14178805e-08 11.09880 0.24702 0.36927 0.2470
6.01269590e-09 11.09998 0.22783 0.36745 0.2278
3.09602821e-09 11.10104 0.21337 0.36222 0.2134
1.76108483e-09 11.10185 0.21197 0.35189 0.2120
1.09020770e-09 11.10248 0.22472 0.33053 0.2247
7.25235316e-10 11.10298 0.25291 0.28772 0.2529
5.12865195e-10 11.10338 0.29095 0.23800 0.2910
3.82031073e-10 11.10370 0.31751 0.24870 0.3175
2.97426750e-10 11.10396 0.31759 0.31681 0.3176
2.40419240e-10 11.10419 0.29950 0.35655 0.2995
2.00640948e-10 11.10438 0.27678 0.36706 0.2768
1.72049264e-10 11.10456 0.25635 0.36792 0.2564
1.50973567e-10 11.10473 0.24008 0.36411 0.2401
1.35102041e-10 11.10489 0.22786 0.35338 0.2279
1.22930222e-10 11.10506 0.21908 0.32596 0.2191
1.13450360e-10 11.10525 0.21280 0.26306 0.2128
1.05969677e-10 11.10547 0.20471 0.19790 0.2047
1.00000008e-10 11.10585 0.12498 0.25273 0.1250
 
